stops,latitude,longtitude
JAMAICA AV/111 ST,(40.6968859, -73.8371596)
JAMAICA AV/113 ST,(40.6978341, -73.8356541)
JAMAICA AV/115 ST,(40.6986733, -73.8340889)
JAMAICA AV/117 ST,(40.6994932, -73.8325934)
JAMAICA AV/121 ST,(40.7003882, -73.8291121)
JAMAICA AV/126 ST,(40.7012048, -73.8247744)
CYPRESS AV/PALMETTO ST,(40.7016779, -73.9088475)
MADISON ST/CYPRESS AV,(40.7008325, -73.90738069999999)
MADISON ST/SENECA AV,(40.702148, -73.905914)
MADISON ST/ONDERDONK AV,(40.7028376, -73.9052811)
MADISON ST/WOODWARD AV,(40.703974, -73.904124)
MADISON ST/FAIRVIEW AV,(40.70499, -73.903053)
FAIRVIEW AV/FOREST AV,(40.704365, -73.901924)
FRESH POND RD/PUTNAM AV,(40.7064947, -73.89694209999999)
FRESH POND RD/WOODBINE ST,(40.7077567, -73.8975576)
FRESH POND RD/GATES AV,(40.709041, -73.898462)
FRESH POND RD/GROVE ST,(40.709831, -73.89889500000001)
FRESH POND RD/BLEECKER ST,(40.7119073, -73.9001878)
FRESH POND RD/ELIOT AV,(40.7146258, -73.90115949999999)
FRESH POND RD/60 RD,(40.7161446, -73.9015897)
FRESH POND RD / 61ST ST,(40.7182603, -73.9021815)
FRESH POND RD/59 AV,(40.71939649999999, -73.902496)
FRESH POND RD/FLUSHING AV,(40.7216331, -73.90312349999999)
FLUSHING AV/64 ST,(40.722775, -73.901123)
GRAND AV/66 ST,(40.72427, -73.898361)
GRAND AV/QUEENS MIDTOWN EP,(40.7250005, -73.8970185)
GRAND AV/69 PL,(40.726349, -73.894691)
GRAND AV/71 ST,(40.72776, -73.892151)
GRAND AV/73 ST,(40.729355, -73.89009899999999)
GRAND AV/74 ST,(40.730282, -73.88715400000001)
GRAND AV/79 ST,(40.730816, -73.885956)
GRAND AV/84 ST,(40.733452, -73.883827)
GRAND AV/HASPEL ST,(40.734997, -73.8819315)
GRAND AV/VAN HORN ST,(40.735806, -73.880196)
GRAND AV/QUEENS BL,(40.7368133, -73.8776326)
BROADWAY/JUSTICE AV,(40.73754050000001, -73.87714989999999)
BROADWAY/CORONA AV,(40.73939499999999, -73.877918)
CORONA AV/88 ST,(40.7405502, -73.876333)
CORONA AV/90 ST,(40.7415066, -73.8750038)
CORONA AV/91 PL,(40.74237400000001, -73.873901)
CORONA AV/93 ST,(40.742371, -73.871513)
CORONA AV/94 ST,(40.7423527, -73.869913)
CORONA AV/JUNCTION BL,(40.7420912, -73.8674523)
CORONA AV/ALSTYNE AV,(40.743382, -73.865959)
CORONA AV/98 PL,(40.744949, -73.864487)
CORONA AV/102 ST,(40.7442849, -73.86178919999999)
CORONA AV/104 ST,(40.744031, -73.85868099999999)
CORONA AV/51 AV,(40.743488, -73.855713)
108 ST/53 AV,(40.742683, -73.854621)
108 ST/OTIS AV,(40.7410992, -73.8538216)
108 ST/WALDRON ST,(40.739289, -73.852873)
108 ST/HORACE HARDING EXPWY,(40.736997, -73.851688)
COLLEGE PT BL/HORACE HARDING EXP,(40.7424949, -73.83707129999999)
COLLEGE PT BL/58 RD,(40.7455246, -73.8353757)
COLLEGE PT BL/57 RD,(40.7469099, -73.8347722)
COLLEGE PT BL/BOOTH MEMORIAL AV,(40.748295, -73.832893)
COLLEGE PT BL/AVERY AV,(40.752274, -73.83236699999999)
COLLEGE PT BL/MAPLE AV,(40.7537159, -73.8328761)
41 RD/MAIN ST,(40.75736200000001, -73.829369)
COLLEGE PT BL/SANFORD AV,(40.7574826, -73.82751449999999)
COLLEGE PT BL/FOWLER AV,(40.75201, -73.832314)
COLLEGE PT BL/58 AV,(40.746006, -73.835312)
COLLEGE PT BL/59 AV,(40.744717, -73.83620499999999)
HORACE HARDING EXP/WALDRON ST,(40.738336, -73.849897)
108 ST/HORACE HARDING EP,(40.736843, -73.85176799999999)
108 ST/VAN CLEEF ST,(40.7410992, -73.8538216)
108 ST/MARTENSE AV,(40.742089, -73.854316)
CORONA AV/NATIONAL ST,(40.7450843, -73.86437149999999)
CORONA AV/46 AV,(40.742443, -73.87281)
BROADWAY/QUEENS BL,(40.7368133, -73.8776326)
GRAND AV/GOLDSMITH ST,(40.735703, -73.88089)
GRAND AV/CALAMUS AV,(40.7332954, -73.8841005)
GRAND AV/82 ST,(40.73214, -73.884727)
GRAND AV/72 ST,(40.728024, -73.89183000000001)
GRAND AV/BORDEN AV,(40.725716, -73.89578999999999)
GRAND AV/HAMILTON PL,(40.724155, -73.89877299999999)
GRAND AV/REMSEN PL,(40.7236848, -73.8996271)
FRESH POND RD/59 DR,(40.7179958, -73.9021071)
FRESH POND RD/60 AV,(40.7166876, -73.9018296)
FRESH POND RD/METROPOLITAN AV,(40.7126963, -73.900615)
FRESH POND RD/MENAHAN ST,(40.7109888, -73.8997102)
FRESH POND RD/LINDEN ST,(40.7096834, -73.8989155)
FRESH POND RD/PALMETTO ST,(40.7083984, -73.8980006)
PUTNAM AV/WOODWARD AV,(40.7035303, -73.903396)
PUTNAM AV/ONDERDONK AV,(40.7024011, -73.9045355)
PUTNAM AV/MYRTLE AV,(40.700034, -73.906978)
PUTNAM AV/WYCKOFF AV,(40.6982593, -73.908775)
GRAND ST/WYTHE AV,(40.7157482, -73.9644982)
GRAND ST/BEDFORD AV,(40.7145065, -73.9612923)
ROEBLING ST/GRAND ST,(40.7132956, -73.958356)
METROPOLITAN AV/HAVEMEYER ST,(40.7140777, -73.95598319999999)
METROPOLITAN AV/RODNEY ST,(40.714005, -73.95279699999999)
GARDNER AV/GRAND ST,(40.7154149, -73.9269356)
GRAND ST/GRAND ST BRIDGE,(40.7164008, -73.9231166)
GRAND AV/47 ST,(40.7167305, -73.92177199999999)
GRAND AV/PAGE PL,(40.717684, -73.918339)
GRAND AV/54 ST,(40.71854949999999, -73.915207)
GRAND AV/56 ST,(40.71909, -73.912987)
GRAND AV/RUST ST,(40.719639, -73.911064)
GRAND AV/59 ST,(40.720493, -73.908554)
GRAND AV/58 AV,(40.7211685, -73.9062885)
GRAND AV/61 ST,(40.721939, -73.904312)
QUEENS BL/55 AV,(40.73539700000001, -73.876144)
QUEENS BL/56 AV,(40.734444, -73.874466)
QUEENS BL/WOODHAVEN BL,(40.7337205, -73.87034779999999)
HOR HARDING SER RD S/QUEENS BL,(40.732857, -73.866875)
JUNCTION BL/HOR HARDING SR RD S,(40.73296, -73.864021)
62 DR/QUEENS BL,(40.7309991, -73.8645492)
QUEENS BL/62 DR,(40.7309991, -73.8645492)
QUEENS BL/59 AV,(40.734077, -73.871254)
90 ST/57 AV,(40.734898, -73.872208)
56 AV/QUEENS BL,(40.734745, -73.874405)
GRAND AV/MASPETH AV,(40.7228038, -73.9017989)
GRAND ST/GARDNER AV,(40.7154149, -73.9269356)
GRAND ST/METROPOLITAN AV BR,(40.7144893, -73.9306058)
METROPOLITAN AV/N 5 ST,(40.7140837, -73.9546718)
GRAND ST/ROEBLING ST,(40.7132956, -73.958356)
E 57 ST/MADISON AV,(40.7622955, -73.9723583)
5 AV/W 52 ST,(40.7597914, -73.9762808)
5 AV/W 44 ST,(40.7547917, -73.9799338)
5 AV/W 41 ST,(40.752548, -73.98168199999999)
5 AV/W 35 ST,(40.7491122, -73.98406740000001)
5 AV/W 30 ST,(40.7459153, -73.9864107)
E 23 ST/BROADWAY,(40.7413722, -73.98913329999999)
BROADWAY/E 13 ST,(40.7339898, -73.9909491)
BROADWAY/WAVERLY PL,(40.7297152, -73.9932733)
BROADWAY/BROOME ST,(40.7214105, -74.000299)
BROADWAY/WALKER ST,(40.7186342, -74.0025412)
BROADWAY/THOMAS ST,(34.073906, -118.205399)
BROADWAY/MURRAY ST,(40.7123649, -74.0079382)
BROADWAY/BARCLAY ST,(40.7123649, -74.0079382)
BROADWAY/CEDAR ST,(41.015287, -73.869852)
BROADWAY/EXCHANGE AL,(40.70711499999999, -74.012306)
BATTERY PL/GREENWICH ST,(40.70483249999999, -74.0149501)
WAKEMAN PL/RIDGE BL,(40.63945570000001, -74.0269615)
WAKEMAN PL/3 AV,(40.638126, -74.024872)
SHORE RD/BAY RIDGE AV,(40.6388208, -74.0359701)
SHORE RD/72 ST,(40.636074, -74.0371515)
SHORE RD/BAY RIDGE PKY,(40.6336276, -74.0369505)
SHORE RD/79 ST,(40.631504, -74.03849799999999)
SHORE RD/83 ST,(40.6278245, -74.040047)
4TH AV/SHORE RD,(40.6372874, -74.0221404)
SHORE RD/BAY RIDGE PY,(40.631708, -74.0277485)
TRINITY PL/RECTOR ST,(40.70778869999999, -74.01297559999999)
CHURCH ST/FULTON ST,(40.711727, -74.010262)
CHURCH ST/PARK PL,(40.7132855, -74.0091285)
CHURCH ST/CHAMBERS ST,(40.7149384, -74.0079659)
CHURCH ST/THOMAS ST,(38.3682861, -92.21643429999999)
6 AV /LISPENARD ST,(40.7206324, -74.0052078)
AV OF THE AMERICAS/SPRING ST,(40.725558, -74.004566)
6 AV/ WAVERLY PL,(40.7329337, -74.0000828)
6 Av/W 14 ST,(40.7373654, -73.9968452)
W 23 ST/AV OF THE AMERICAS,(40.742903, -73.99279779999999)
W 23 ST/5 AV,(40.7415708, -73.9895773)
MADISON AV/E 25 ST,(40.7421612, -73.9870435)
MADISON AV/E 29 ST,(40.7446277, -73.9852465)
MADISON AV/E 34 ST,(40.7477755, -73.9829506)
MADISON AV/E 37 ST,(40.749802, -73.981377)
MADISON AV /E 42 ST,(40.7528119, -73.9792738)
MADISON AV/E 48 ST,(40.7566117, -73.9765007)
MADISON AV/E 54 ST,(40.7603684, -73.9737633)
CROPSEY AV/18 AV,(40.6026482, -74.0074666)
CROPSEY AV/BAY 25 ST,(40.5997396, -74.0021345)
W 17 ST/MERMAID AV,(40.5766296, -73.98478070000002)
NEPTUNE AV/W 37 ST,(40.5768908, -74.00323089999999)
WEST 20 ST/MERMAID AV,(40.5763897, -73.9868888)
6 AV/ W 14 ST,(40.7373654, -73.9968452)
E 23 ST/PARK AV S,(40.7402137, -73.9864169)
E 23 ST/3 AV,(40.7385944, -73.982829)
E 23 ST/1 AV,(40.7368909, -73.97854029999999)
MALCOLM X BL/W 146 ST,(40.821083, -73.935898)
MALCOLM X BL/W 145 ST,(40.8204155, -73.93624100000001)
MALCOLM X BL/W 142 ST,(40.8185215, -73.93763349999999)
W 139 ST/MALCOLM X BL,(40.8166316, -73.9389424)
5 AV/W 138 ST,(40.8146577, -73.936253)
5 AV/W 137 ST,(40.8140579, -73.9366955)
5 AV/W 135 ST,(40.8127628, -73.93764630000001)
5 AV/W 132 ST,(40.8108636, -73.9390236)
5 AV/W 130 ST,(40.809345, -73.940208)
5 AV/W 128 ST,(40.8083433, -73.9408718)
5 AV/W 125 ST,(40.8064194, -73.9422689)
MT MORRIS PK W/W 124 ST,(40.8064116, -73.9443786)
MT MORRIS PK W/W 121 ST,(40.8045333, -73.94573799999999)
W 120 ST/5 AV,(40.8032362, -73.94462829999999)
5 AV/W 118 ST,(40.801693, -73.945831)
5 AV/W 116 ST,(40.80066679999999, -73.94646399999999)
5 AV/W 112 ST,(40.797898, -73.9486235)
5 AV/EAST 109 ST,(40.7962261, -73.9497122)
5 AV/E 108 ST,(40.7955926, -73.9501655)
5 AV/E 106 ST,(40.7942448, -73.9511546)
5 AV/E 104 ST,(40.7929894, -73.95206449999999)
5 AV/E 102 ST,(40.7917293, -73.9529884)
5 AV/E 98 ST,(40.7892085, -73.9548095)
5 AV/E 96 ST,(40.7879094, -73.95577639999999)
5 AV/E 94 ST,(40.7865935, -73.9567199)
5 AV/E 92 ST,(40.785355, -73.9576403)
5 AV/E 90 ST,(40.7840829, -73.9585668)
5 AV/E 87 ST,(40.7822134, -73.9599233)
5 AV/E 84 ST,(40.7802148, -73.9613768)
5 AV/E 81 ST,(40.7783215, -73.9627625)
5 AV/E 77 ST,(40.7756891, -73.964692)
5 AV/E 75 ST,(40.7744146, -73.9656177)
5 AV/E 72 ST,(40.77246150000001, -73.96704360000001)
5 AV/E 69 ST,(40.7705288, -73.9684448)
5 AV/E 63 ST,(40.7667738, -73.9711954)
5 AV/E 61 ST,(40.7655163, -73.97210059999999)
5 AV/W 59 ST,(40.7644791, -73.973021)
5 AV/W 56 ST,(40.7622964, -73.97445689999999)
5 AV/W 49 ST,(40.757906, -73.9776394)
5 AV/W 46 ST,(40.7560369, -73.979021)
5 AV/W 38 ST,(40.7509682, -73.9827201)
5 AV/W 33 ST,(40.7477694, -73.985072)
5 AV/W 31 ST,(40.74653929999999, -73.9859729)
5 AV/W 29 ST,(40.7453012, -73.986854)
5 AV/W 26 ST,(40.743458, -73.9881992)
5 AV/W 23 ST,(40.7415708, -73.9895773)
5 AV/W 20 ST,(40.7396799, -73.9909531)
5 AV/W 17 ST,(40.7379164, -73.9922246)
5 AV/W 13 ST,(40.735321, -73.9941315)
5 AV/W 12 ST,(40.7346736, -73.9945869)
5 AV/W 10 ST,(40.733438, -73.9955166)
E 8 ST/5 AV,(40.7322482, -73.996386)
E 8 ST/UNIVERSITY PL,(40.7316122, -73.9947916)
E 8 ST/MERCER ST,(40.7307245, -73.9928661)
BROADWAY/BLEECKER ST,(40.7265424, -73.9958548)
BROADWAY/W HOUSTON ST,(40.7250962, -73.99719979999999)
BROADWAY/PRINCE ST,(40.7242289, -73.9977901)
BROADWAY/SPRING ST,(40.7230211, -73.99881069999999)
E 8 ST/LAFAYETTE ST,(40.7301169, -73.9913906)
CENTRE ST/BROOME ST,(40.72084, -73.99765289999999)
4 AV/E 9 ST,(40.6701803, -73.98929150000001)
CLEVELAND  PL/SPRING ST,(40.72229249999999, -73.9970929)
LAFAYETTE ST/E HOUSTON ST,(40.72514779999999, -73.99526949999999)
LAFAYETTE ST/E 4 ST,(40.7278625, -73.9931345)
LAFAYETTE ST/ASTOR PL,(40.7298544, -73.9913978)
4 AV/E 10 ST,(40.731502, -73.9901915)
4 AV/E 12 ST,(40.7342948, -73.9940068)
UNION SQ E/E 15 ST,(40.7353329, -73.9898554)
PARK AV S/E 18 ST,(40.7371767, -73.98864090000001)
PARK AV S/E 21 ST,(40.7389317, -73.9873611)
PARK AV S/E 23 ST,(40.7402137, -73.9864169)
E 25 ST/PARK AV S,(40.7414922, -73.9854799)
MADISON AV/E 28 ST,(40.7440111, -73.98569169999999)
MADISON AV/E 30 ST,(40.7452406, -73.9847924)
MADISON AV/E 40  ST,(40.7515325, -73.9802219)
MADISON AV/E 42 ST,(40.7528119, -73.9792738)
MADISON AV/E 45 ST,(40.754918, -73.97763259999999)
MADISON AV/E 47 ST,(40.7559899, -73.9769697)
MADISON AV/E 49 ST,(40.7572296, -73.9760446)
MADISON AV/E 52 ST,(40.7591183, -73.9746925)
MADISON AV/E 55  ST,(40.7610125, -73.9733344)
MADISON AV/E 57 ST,(40.7622955, -73.9723583)
MADISON AV/E 60  ST,(40.7642231, -73.970967)
MADISON AV/E 63 ST,(40.766092, -73.9695811)
MADISON AV/E 66 ST,(40.7679746, -73.96820900000002)
MADISON AV/E 67 ST,(40.7686008, -73.9677507)
MADISON AV/E 69 ST,(40.7698498, -73.9668452)
MADISON AV/E 72 ST,(40.7717866, -73.96544469999999)
MADISON AV/E 74 ST,(40.7734035, -73.96414829999999)
MADISON AV/E 77 ST,(40.7750168, -73.9630991)
MADISON AV/E 81 ST,(40.77763789999999, -73.9611632)
MADISON AV/E 83 ST,(40.7788867, -73.9602326)
MADISON AV/E 86 ST,(40.7808623, -73.9588047)
MADISON AV/E 89 ST,(40.7827952, -73.9574148)
MADISON AV/E 91 ST,(40.784061, -73.9564843)
MADISON AV/E 93 ST,(40.7853031, -73.95556959999999)
MADISON AV/E 95 ST,(40.7865592, -73.95465899999999)
MADISON AV/E 98 ST,(40.7885342, -73.95321369999999)
MADISON AV/E 101 ST,(40.7904206, -73.95181699999999)
MADISON AV/E 102 ST,(40.7910489, -73.95136289999999)
MADISON AV/E 104 ST,(40.7922996, -73.95045449999999)
MADISON AV/E 106 ST,(40.7936485, -73.94948699999999)
MADISON AV/E 107 ST,(40.79429409999999, -73.94901039999999)
MADISON AV/E 109 ST,(40.795815, -73.947777)
MADISON AV/E 112 ST,(40.7974551, -73.9467053)
MADISON AV/E 114 ST,(40.798492, -73.94581600000001)
MADISON AV/E 116 ST,(40.7999961, -73.94485279999999)
MADISON AV/E 118 ST,(40.8012944, -73.94391209999999)
MADISON AV/E 121 ST,(40.803482, -73.942223)
MADISON AV/E 123 ST,(40.80469799999999, -73.9413415)
MADISON AV/E 125 ST,(40.806015, -73.94034599999999)
MADISON AV/E 127 ST,(40.8070425, -73.9396854)
MADISON AV/E 129 ST,(40.808274, -73.93879129999999)
MADISON AV/E 132 ST,(40.8101741, -73.93740760000001)
5 AV/E 135 ST,(40.8127628, -73.93764630000001)
5 AV/E 138 ST,(40.8146577, -73.936253)
W 139 ST/5 AV,(40.8153398, -73.93575799999999)
MALCOLM X BL/W 139 ST,(40.8166425, -73.93900700000002)
W 147 ST/MALCOLM X BL,(40.821953, -73.93572999999999)
W 147 ST/ADAM C POWELL BL,(40.82285299999999, -73.937866)
146 ST/LENOX AV,(40.8210844, -73.9356888)
FRED DOUGLASS BL/W 158 ST,(40.8310815, -73.9358405)
FRED DOUGLASS BL/W 155 ST,(40.8291835, -73.937252)
FRED DOUGLASS BL/W 154 ST,(40.828304, -73.93804899999999)
FRED DOUGLASS BL/W 152 ST,(40.827019, -73.93899499999999)
FRED DOUGLASS BL/W 150 ST,(40.825951, -73.93972)
FRED DOUGLASS BL/W 147 ST,(40.82391399999999, -73.941261)
FRED DOUGLASS BL/W 145 ST,(40.8228318, -73.9419184)
FRED DOUGLASS BL/W 142 ST,(40.82066, -73.943642)
FRED DOUGLASS BL/W 140 ST,(40.8196725, -73.9442344)
FRED DOUGLASS BL/W 138 ST,(40.8184322, -73.9451539)
FRED DOUGLASS BL/W 135 ST,(40.8165139, -73.9465562)
FRED DOUGLASS BL/W 133 ST,(40.81521619999999, -73.94747679999999)
FRED DOUGLASS BL/W 129 ST,(40.8127079, -73.94931)
FRED DOUGLASS BL/W 128 ST,(40.81189699999999, -73.950043)
FREDERICK DOUGLASS BL/125 ST,(40.810186, -73.9511548)
FREDERICK DOUGLASS/W 121 ST,(40.8076175, -73.95304349999999)
FRED DOUGLASS BL/W 119 ST,(40.806234, -73.954075)
FREDERICK DOUGLASS BL/W 116 ST,(40.8044344, -73.9553616)
FREDERICK DOUGLASS BL/114 ST,(40.803307, -73.956322)
FRED DOUGLASS BL/W 112 ST,(40.801643, -73.957504)
FRED DOUGLASS BL/CATHEDRAL PY,(40.8008405, -73.958252)
CENTRAL PK W/W 108 ST,(40.79913699999999, -73.959366)
CENTRAL PK W/W 106 ST,(40.798298, -73.959717)
CENTRAL PK W/W 104 ST,(40.796774, -73.96095249999999)
CENTRAL PK W/W 102 ST,(40.7955135, -73.961876)
CENTRAL PK W/W 97 ST,(40.7920581, -73.9645613)
CENTRAL PK W/W 94 ST,(40.7903235, -73.96566399999999)
CENTRAL PK W/W 92 ST,(40.789326, -73.96625499999999)
CENTRAL PK W/W 90 ST,(40.78784, -73.96747549999999)
CENTRAL PK W/W 88 ST,(40.786688, -73.9682845)
CENTRAL PK W/W 86 ST,(40.7855436, -73.9696452)
CENTRAL PK W/W 84 ST,(40.783892, -73.9703595)
CENTRAL PK W/W 81 ST,(40.7822067, -73.9718976)
CENTRAL PK W/W 79 ST,(40.7808045, -73.97276649999999)
CENTRAL PK W/W 77 ST,(40.77960950000001, -73.97348749999999)
CENTRAL PK W/W 74 ST,(40.777344, -73.9752905)
CENTRAL PK W/W 72 ST,(40.7762306, -73.9759663)
CENTRAL PK W/W 70 ST,(40.7749155, -73.9769281)
CENTRAL PK W/W 68 ST,(40.7736708, -73.9778357)
CENTRAL PK W/W 66 ST,(40.77248549999999, -73.9787025)
CENTRAL PK W/W 64 ST,(40.770952, -73.9799586)
BROADWAY/W 63 ST,(40.7709641, -73.9823639)
BROADWAY/W 61 ST,(40.769493, -73.9821015)
COLUMBUS CIR/8 AV,(40.7677751, -73.9824052)
BROADWAY/WEST 57 ST,(40.7663181, -73.9818852)
8 AV/W  57 ST,(40.7667278, -73.98287499999999)
CENTRAL PK W/COLUMBUS CIR,(40.7683599, -73.98157510000001)
CENTRAL PK W/W 63 ST,(40.7708586, -73.97975790000001)
CENTRAL PK W/W 67 ST,(40.7730403, -73.97829449999999)
CENTRAL PK W/W 69 ST,(40.7746095, -73.97700549999999)
CENTRAL PK W/W 75 ST,(40.77851099999999, -73.974136)
CENTRAL PK W/W 96 ST,(40.791668, -73.96494299999999)
CENTRAL PK W/CATHEDRAL PY,(40.7812199, -73.9665138)
FRED DOUGLASS BL/W 111 ST,(40.801445, -73.957436)
FRED DOUGLASS BL/W 113 ST,(40.802746, -73.956482)
FRED DOUGLASS BL/W 116 ST,(40.8044638, -73.9557171)
FRED DOUGLASS BL/W 121 ST,(40.80744600000001, -73.953049)
FRED DOUGLASS BL/W 123 ST,(40.809071, -73.951843)
FRED DOUGLASS BL/W 125 ST,(40.810186, -73.9511548)
FRED DOUGLASS BL/W 127 ST,(40.811749, -73.94989)
FRED DOUGLASS BL/W 131 ST,(40.81413999999999, -73.948135)
FRED DOUGLASS BL/W 141 ST,(40.8203041, -73.943776)
FRED DOUGLASS BL/W 143 ST,(40.821758, -73.942574)
FRED DOUGLASS BL/W 148 ST,(40.824928, -73.940254)
FRED DOUGLASS BL/MACOMBS PL,(40.825817, -73.93965899999999)
FRED DOUGLASS BL/W 153 ST,(40.828129, -73.93791999999999)
ST NICHOLAS AV/W 192 ST,(40.8561729, -73.928685)
AMSTERDAM AV/W 190 ST,(40.853689, -73.9268185)
AMSTERDAM AV/W 188 ST,(40.852242, -73.927956)
AMSTERDAM AV/W 185 ST,(40.8505235, -73.9292055)
AMSTERDAM AV/W 184 ST,(40.8499169, -73.92962589999999)
AMSTERDAM AV/W 181 ST,(40.8481001, -73.9309153)
AMSTERDAM AV/W 178 ST,(40.845882, -73.932602)
AMSTERDAM AV/W 175 ST,(40.8442465, -73.9337161)
AMSTERDAM AV/W 172 ST,(40.84229990000001, -73.93510549999999)
AMSTERDAM AV/W 170 ST,(40.8410587, -73.9360248)
AMSTERDAM AV/W 168 ST,(40.83955, -73.937225)
AMSTERDAM AV/W 165 ST,(40.837872, -73.93815599999999)
LEXINGTON AV/E 124 ST,(40.8037062, -73.9379199)
LEXINGTON AV/E 122 ST,(40.8024451, -73.938844)
LEXINGTON AV/E 119 ST,(40.80019, -73.94052099999999)
LEXINGTON AV/E 116 ST,(40.7986353, -73.941628)
LEXINGTON AV/E 114 ST,(40.797176, -73.94274899999999)
LEXINGTON AV/E 110 ST,(40.79482, -73.9444122)
LEXINGTON AV/E 106 ST,(40.7922915, -73.9462527)
LEXINGTON AV/E 104 ST,(40.7909485, -73.94723789999999)
LEXINGTON AV/E 102 ST,(40.7893801, -73.94847750000001)
LEXINGTON AV/E 100 ST,(40.7884355, -73.94905779999999)
LEXINGTON AV/E 98 ST,(40.7871821, -73.94997)
LEXINGTON AV/E 96 ST,(40.7858706, -73.950934)
LEXINGTON AV/E 94 ST,(40.7845689, -73.9518835)
LEXINGTON AV/E 92 ST,(40.783309, -73.952801)
LEXINGTON AV/E 89 ST,(40.7814303, -73.95417909999999)
LEXINGTON AV/E 86 ST,(40.7795169, -73.9555901)
LEXINGTON AV/E 83 ST,(40.777546, -73.95701269999999)
LEXINGTON AV/E 79 ST,(40.7749909, -73.95886899999999)
LEXINGTON AV/E 77 ST,(40.7736478, -73.959857)
LEXINGTON AV/E 74 ST,(40.771739, -73.961244)
LEXINGTON AV/E 72 ST,(40.7704246, -73.96219719999999)
LEXINGTON AV/E 70 ST,(40.769113, -73.963161)
LEXINGTON AV/E 68 ST,(40.7676175, -73.9636325)
LEXINGTON AV/E 64 ST,(40.765357, -73.96589999999999)
LEXINGTON AV/E 62 ST,(40.7641064, -73.9668129)
LEXINGTON AV/E 59 ST,(40.76222449999999, -73.96817949999999)
LEXINGTON AV/E 56 ST,(40.7602536, -73.9696318)
LEXINGTON AV/E 52 ST,(40.7577491, -73.9714656)
LEXINGTON AV/E 50 ST,(40.756502, -73.97237059999999)
LEXINGTON AV/E 49 ST,(40.755876, -73.9728338)
LEXINGTON AV/E 47 ST,(40.7546201, -73.97373089999999)
LEXINGTON AV/E 45 ST,(40.75337580000001, -73.9746669)
LEXINGTON AV/E 42 ST,(40.7514465, -73.976055)
LEXINGTON AV/E 40 ST,(40.7501612, -73.9769852)
LEXINGTON AV/E 37 ST,(40.7482943, -73.9783341)
LEXINGTON AV/E 34 ST,(40.7464127, -73.97972759999999)
LEXINGTON AV/E 31 ST,(40.74449500000001, -73.9811168)
LEXINGTON AV/E 28 ST,(40.7426414, -73.98246240000002)
LEXINGTON AV/E 26 ST,(40.7414154, -73.98336669999999)
EAST 24 ST/LEXINGTON AV,(40.7401711, -73.9842638)
3 AV/E 23 ST,(40.7385944, -73.982829)
3 AV/E 20 ST,(40.7367466, -73.9848465)
3 AV/E 17 ST,(40.737856, -73.9916179)
3 AV/E 14 ST,(40.7332926, -73.98718149999999)
3 AV/E 11 ST,(40.73132500000001, -73.988613)
3 AV/ASTOR PL,(40.7295727, -73.98991269999999)
ASTOR PL/3 AV,(40.7296067, -73.9901471)
3 AV/E 9 ST,(40.73274, -73.9953302)
3 AV/E 21 ST,(40.7374153, -73.9840279)
3 AV/E 26 ST,(40.7410481, -73.9813803)
3 AV/E 29 ST,(40.659286, -74.002777)
3 AV/E 31 ST,(40.7437123, -73.9794519)
3 AV/E 33 ST,(40.7455581, -73.97980319999999)
3 AV/E 37 ST,(40.7480124, -73.97633239999999)
3 AV/E 39 ST,(40.74917600000001, -73.975517)
3 AV/E 42 ST,(40.7507757, -73.9744533)
3 AV/E 45 ST,(40.7554499, -73.9790471)
3 AV/E 47 ST,(40.755878, -73.976944)
3 AV/E 50 ST,(40.75629, -73.9702717)
3 AV/E 53 ST,(40.7579806, -73.9690354)
3 AV/E 57 ST,(40.759884, -73.9668488)
3 AV/E 60 ST,(40.76260600000001, -73.9656814)
3 AV/E 63 ST,(40.766748, -73.9704589)
3 AV/E 65 ST,(40.7678464, -73.9696214)
3 AV/E 67 ST,(40.76711299999999, -73.96251699999999)
3 AV/E 69 ST,(40.7702801, -73.9675066)
3 AV/E 72 ST,(40.76952, -73.960281)
3 AV/E 75 ST,(40.77434480000001, -73.9648893)
3 AV/E 77 ST,(40.77547819999999, -73.96396969999999)
3 AV/E 79 ST,(40.7739626, -73.95678509999999)
3 AV/E 82 ST,(40.7764301, -73.95557629999999)
3 AV/E 86 ST,(40.7816808, -73.959998)
3 AV/E 88 ST,(40.7828858, -73.9590218)
3 AV/E 93 ST,(40.7836173, -73.9503177)
3 AV/E 97 ST,(40.785704, -73.94880789999999)
3 AV/E 99 ST,(40.7875457, -73.9474501)
3 AV/E 102 ST,(40.789272, -73.946289)
3 AV/E 104 ST,(40.790539, -73.945358)
3 AV/E 106 ST,(40.791889, -73.944366)
3 AV/E 109 ST,(40.793766, -73.94300799999999)
3 AV/E 112 ST,(40.7958126, -73.9414438)
3 AV/E 116 ST,(40.7979563, -73.94001229999999)
3 AV/E 118 ST,(40.79958, -73.938721)
3 AV/E 122 ST,(40.8020102, -73.9368997)
AMSTERDAM AV/W 164 ST,(40.8372507, -73.9389111)
AMSTERDAM AV/W 167 ST,(40.8393205, -73.9373777)
AMSTERDAM AV/W 171 ST,(40.8418403, -73.9353443)
AMSTERDAM AV/W 173 ST,(40.843121, -73.93444099999999)
AMSTERDAM AV/W 176 ST,(40.84515, -73.93296099999999)
AMSTERDAM AV/W 179 ST,(40.8467888, -73.9318502)
AMSTERDAM AV/W 183 ST,(40.849311, -73.9300228)
